项目,日期,数值,预期,前值,year,month
中国CPI月率报告,1996-02-01,2.1,,,1996,2
中国CPI月率报告,1996-03-01,2.3,,2.1,1996,3
中国CPI月率报告,1996-04-01,0.6,,2.3,1996,4
中国CPI月率报告,1996-05-01,0.7,,0.6,1996,5
中国CPI月率报告,1996-06-01,-0.5,,0.7,1996,6
中国CPI月率报告,1996-07-01,-1.6,,-0.5,1996,7
中国CPI月率报告,1996-08-01,-0.8,,-1.6,1996,8
中国CPI月率报告,1996-09-01,1.5,,-0.8,1996,9
中国CPI月率报告,1996-10-01,1.5,,1.5,1996,10
中国CPI月率报告,1996-11-01,-0.2,,1.5,1996,11
中国CPI月率报告,1996-12-01,-0.1,,-0.2,1996,12
中国CPI月率报告,1997-01-01,0.7,,-0.1,1997,1
中国CPI月率报告,1997-02-01,1.1,,0.7,1997,2
中国CPI月率报告,1997-03-01,2.0,,1.1,1997,3
中国CPI月率报告,1997-04-01,-1.1,,2.0,1997,4
中国CPI月率报告,1997-05-01,-0.2,,-1.1,1997,5
中国CPI月率报告,1997-06-01,-0.9,,-0.2,1997,6
中国CPI月率报告,1997-07-01,-1.7,,-0.9,1997,7
中国CPI月率报告,1997-08-01,-1.2,,-1.7,1997,8
中国CPI月率报告,1997-09-01,0.6,,-1.2,1997,9
中国CPI月率报告,1997-10-01,1.7,,0.6,1997,10
中国CPI月率报告,1997-11-01,-0.6,,1.7,1997,11
中国CPI月率报告,1997-12-01,-0.3,,-0.6,1997,12
中国CPI月率报告,1998-01-01,0.1,,-0.3,1998,1
中国CPI月率报告,1998-02-01,0.7,,0.1,1998,2
中国CPI月率报告,1998-03-01,1.5,,0.7,1998,3
中国CPI月率报告,1998-04-01,-0.5,,1.5,1998,4
中国CPI月率报告,1998-05-01,-0.8,,-0.5,1998,5
中国CPI月率报告,1998-06-01,-1.4,,-0.8,1998,6
中国CPI月率报告,1998-07-01,-1.8,,-1.4,1998,7
中国CPI月率报告,1998-08-01,-1.3,,-1.8,1998,8
中国CPI月率报告,1998-09-01,0.8,,-1.3,1998,9
中国CPI月率报告,1998-10-01,1.6,,0.8,1998,10
中国CPI月率报告,1998-11-01,-0.3,,1.6,1998,11
中国CPI月率报告,1998-12-01,-0.3,,-0.3,1998,12
中国CPI月率报告,1999-01-01,0.2,,-0.3,1999,1
中国CPI月率报告,1999-02-01,0.2,,0.2,1999,2
中国CPI月率报告,1999-03-01,1.3,,0.2,1999,3
中国CPI月率报告,1999-04-01,-0.8,,1.3,1999,4
中国CPI月率报告,1999-05-01,-1.0,,-0.8,1999,5
中国CPI月率报告,1999-06-01,-1.3,,-1.0,1999,6
中国CPI月率报告,1999-07-01,-1.8,,-1.3,1999,7
中国CPI月率报告,1999-08-01,-0.9,,-1.8,1999,8
中国CPI月率报告,1999-09-01,1.0,,-0.9,1999,9
中国CPI月率报告,1999-10-01,2.0,,1.0,1999,10
中国CPI月率报告,1999-11-01,0.0,,2.0,1999,11
中国CPI月率报告,1999-12-01,-0.6,,0.0,1999,12
中国CPI月率报告,2000-01-01,0.0,,-0.6,2000,1
中国CPI月率报告,2000-02-01,0.9,,0.0,2000,2
中国CPI月率报告,2000-03-01,1.9,,0.9,2000,3
中国CPI月率报告,2000-04-01,-1.6,,1.9,2000,4
中国CPI月率报告,2000-05-01,-0.9,,-1.6,2000,5
中国CPI月率报告,2000-06-01,-1.0,,-0.9,2000,6
中国CPI月率报告,2000-07-01,-1.5,,-1.0,2000,7
中国CPI月率报告,2000-08-01,-0.8,,-1.5,2000,8
中国CPI月率报告,2000-09-01,1.0,,-0.8,2000,9
中国CPI月率报告,2000-10-01,1.6,,1.0,2000,10
中国CPI月率报告,2000-11-01,-0.1,,1.6,2000,11
中国CPI月率报告,2000-12-01,0.7,,-0.1,2000,12
中国CPI月率报告,2001-01-01,0.1,,0.7,2001,1
中国CPI月率报告,2001-02-01,0.9,,0.1,2001,2
中国CPI月率报告,2001-03-01,0.1,,0.9,2001,3
中国CPI月率报告,2001-04-01,-0.6,,0.1,2001,4
中国CPI月率报告,2001-05-01,0.2,,-0.6,2001,5
中国CPI月率报告,2001-06-01,-0.5,,0.2,2001,6
中国CPI月率报告,2001-07-01,-1.2,,-0.5,2001,7
中国CPI月率报告,2001-08-01,-0.5,,-1.2,2001,8
中国CPI月率报告,2001-09-01,0.1,,-0.5,2001,9
中国CPI月率报告,2001-10-01,0.9,,0.1,2001,10
中国CPI月率报告,2001-11-01,0.3,,0.9,2001,11
中国CPI月率报告,2001-12-01,-0.2,,0.3,2001,12
中国CPI月率报告,2002-01-01,0.1,,-0.2,2002,1
中国CPI月率报告,2002-02-01,0.3,,0.1,2002,2
中国CPI月率报告,2002-03-01,1.1,,0.3,2002,3
中国CPI月率报告,2002-04-01,-1.3,,1.1,2002,4
中国CPI月率报告,2002-05-01,-0.3,,-1.3,2002,5
中国CPI月率报告,2002-06-01,-0.3,,-0.3,2002,6
中国CPI月率报告,2002-07-01,-0.9,,-0.3,2002,7
中国CPI月率报告,2002-08-01,-0.7,,-0.9,2002,8
中国CPI月率报告,2002-09-01,0.3,,-0.7,2002,9
中国CPI月率报告,2002-10-01,1.0,,0.3,2002,10
中国CPI月率报告,2002-11-01,0.2,,1.0,2002,11
中国CPI月率报告,2002-12-01,-0.1,,0.2,2002,12
中国CPI月率报告,2003-01-01,0.3,,-0.1,2003,1
中国CPI月率报告,2003-02-01,1.1,,0.3,2003,2
中国CPI月率报告,2003-03-01,0.9,,1.1,2003,3
中国CPI月率报告,2003-04-01,-0.6,,0.9,2003,4
中国CPI月率报告,2003-05-01,-0.2,,-0.6,2003,5
中国CPI月率报告,2003-06-01,-0.7,,-0.2,2003,6
中国CPI月率报告,2003-07-01,-1.2,,-0.7,2003,7
中国CPI月率报告,2003-08-01,-0.5,,-1.2,2003,8
中国CPI月率报告,2003-09-01,0.7,,-0.5,2003,9
中国CPI月率报告,2003-10-01,1.2,,0.7,2003,10
中国CPI月率报告,2003-11-01,0.9,,1.2,2003,11
中国CPI月率报告,2003-12-01,1.0,,0.9,2003,12
中国CPI月率报告,2004-01-01,0.6,,1.0,2004,1
中国CPI月率报告,2004-02-01,1.1,,0.6,2004,2
中国CPI月率报告,2004-03-01,-0.2,,1.1,2004,3
中国CPI月率报告,2004-04-01,0.3,,-0.2,2004,4
中国CPI月率报告,2004-05-01,0.5,,0.3,2004,5
中国CPI月率报告,2004-06-01,-0.1,,0.5,2004,6
中国CPI月率报告,2004-07-01,-0.7,,-0.1,2004,7
中国CPI月率报告,2004-08-01,-0.2,,-0.7,2004,8
