f2,f3,f4,f12,f13,f14
5020,1151,518,688295,1,中复神鹰
9261,894,760,688359,1,三孚新科
22560,758,1590,688525,1,佰维存储
14321,683,915,688668,1,鼎通科技
18949,675,1199,688536,1,思瑞浦
9570,610,550,688416,1,恒烁股份
888,546,46,688148,1,芳源股份
4838,517,238,688449,1,联芸科技
2783,462,123,688106,1,金宏气体
8064,446,344,688796,1,百奥赛图
6423,407,251,688621,1,阳光诺和
5991,403,232,688710,1,益诺思
5000,369,178,688700,1,东威科技
5583,368,198,688297,1,中无人机
4261,365,150,688628,1,优利德
2606,345,87,688678,1,福立旺
4075,343,135,688520,1,神州细胞
3632,342,120,688367,1,工大高科
1488,341,49,688575,1,亚辉龙
25220,336,820,688766,1,普冉股份
3883,324,122,688197,1,首药控股-U
4896,323,153,688699,1,明微电子
5922,317,182,688513,1,苑东生物
11653,311,352,688353,1,华盛锂电
1854,311,56,688658,1,悦康药业
4580,306,136,688651,1,盛邦安全
8166,286,227,688196,1,卓越新能
4914,280,134,688293,1,奥浦迈
5441,280,148,688091,1,上海谊众
6750,274,180,688011,1,新光光电
3400,269,89,688062,1,迈威生物-U
15602,262,399,688787,1,海天瑞声
8095,253,200,688266,1,泽璟制药-U
5818,250,142,688376,1,美埃科技
5172,244,123,688290,1,景业智能
26349,239,616,688506,1,百利天恒
1936,238,45,688382,1,益方生物-U
3772,236,87,688522,1,纳睿雷达
8066,236,186,688268,1,华特气体
5111,222,111,688170,1,德龙激光
4568,215,96,688166,1,博瑞医药
1098,214,23,688280,1,精进电动-UW
3580,211,74,688272,1,富吉瑞
3784,202,75,688689,1,银河微电
5800,199,113,688336,1,三生国健
23946,192,451,688617,1,惠泰医疗
6335,191,119,688818,1,电科蓝天
3977,179,70,688253,1,英诺特
4832,177,84,688380,1,中微半导
404,176,7,688287,1,*ST观典
26401,171,443,688411,1,海博思创
3457,168,57,688786,1,悦安新材
7741,163,124,688233,1,神工股份
3252,163,52,688139,1,海尔生物
16661,159,261,688052,1,纳芯微
5460,151,81,688114,1,华大智造
6863,140,95,688543,1,国科军工
3770,137,51,688152,1,麒麟信安
10872,137,147,688016,1,心脉医疗
2497,134,33,688398,1,赛特新材
4373,132,57,688283,1,坤恒顺维
1921,132,25,688165,1,埃夫特-U
2389,131,31,688130,1,晶华微
9248,129,118,688696,1,极米科技
1806,129,23,688179,1,阿拉丁
12375,128,156,688325,1,赛微微电
12790,127,160,688535,1,华海诚科
11400,124,140,688275,1,万润新能
1925,121,23,688758,1,赛分科技
5503,116,63,688601,1,力芯微
6145,115,70,688103,1,国力电子
3967,115,45,688759,1,必贝特-U
5589,114,63,688499,1,利元亨
2237,108,24,688066,1,航天宏图
663,107,7,688496,1,清越科技
4195,101,42,688489,1,三未信安
3015,101,30,688216,1,气派科技
2625,96,25,688690,1,纳微科技
865,93,8,688609,1,九联科技
3927,93,36,688484,1,南芯科技
2976,92,27,688136,1,科兴制药
3874,86,33,688081,1,兴图新科
2021,85,17,688236,1,春立医疗
3630,83,30,688716,1,中研股份
12500,81,100,688326,1,经纬恒润-W
12005,78,93,688347,1,华虹公司
1856,76,14,688466,1,金科环境
4539,75,34,688682,1,霍莱沃
8202,72,59,688155,1,先惠技术
3376,72,24,688251,1,井松智能
5134,71,36,688727,1,恒坤新材
3588,70,25,688153,1,唯捷创芯
1614,69,11,688488,1,艾迪药业
2340,60,14,688428,1,诺诚健华-U
1514,60,9,688173,1,希荻微
1520,60,9,688046,1,药康生物
1787,56,10,688553,1,汇宇制药-W
6705,52,35,688720,1,艾森股份
2122,52,11,688209,1,英集芯
9155,52,47,688099,1,晶晨股份
