query_date,year,code,code_name,source_date,stock_code,上市日期,剔除状态
2006-04-30,2006,2006-04-24,sh.600000,2006-04-30,600000,1999-11-10,剔除
2006-04-30,2006,2006-04-24,sh.600001,2006-04-30,600001,1998-01-22,剔除
2006-04-30,2006,2006-04-24,sh.600004,2006-04-30,600004,2003-04-28,剔除
2006-04-30,2006,2006-04-24,sh.600005,2006-04-30,600005,1999-08-03,剔除
2006-04-30,2006,2006-04-24,sh.600006,2006-04-30,600006,1999-07-27,剔除
2006-04-30,2006,2006-04-24,sh.600007,2006-04-30,600007,1999-03-12,剔除
2006-04-30,2006,2006-04-24,sh.600008,2006-04-30,600008,2000-04-27,剔除
2006-04-30,2006,2006-04-24,sh.600009,2006-04-30,600009,1998-02-18,剔除
2006-04-30,2006,2006-04-24,sh.600010,2006-04-30,600010,2001-03-09,剔除
2006-04-30,2006,2006-04-24,sh.600011,2006-04-30,600011,2001-12-06,剔除
2006-04-30,2006,2006-04-24,sh.600012,2006-04-30,600012,2003-01-07,剔除
2006-04-30,2006,2006-04-24,sh.600015,2006-04-30,600015,2003-09-12,剔除
2006-04-30,2006,2006-04-24,sh.600016,2006-04-30,600016,2000-12-19,剔除
2006-04-30,2006,2006-04-24,sh.600018,2006-04-30,600018,2006-10-26,剔除
2006-04-30,2006,2006-04-24,sh.600019,2006-04-30,600019,2000-12-12,剔除
2006-04-30,2006,2006-04-24,sh.600020,2006-04-30,600020,2003-08-08,剔除
2006-04-30,2006,2006-04-24,sh.600021,2006-04-30,600021,2003-10-29,剔除
2006-04-30,2006,2006-04-24,sh.600022,2006-04-30,600022,2004-06-29,剔除
2006-04-30,2006,2006-04-24,sh.600026,2006-04-30,600026,2002-05-23,剔除
2006-04-30,2006,2006-04-24,sh.600027,2006-04-30,600027,2005-02-03,剔除
2006-04-30,2006,2006-04-24,sh.600028,2006-04-30,600028,2001-08-08,剔除
2006-04-30,2006,2006-04-24,sh.600029,2006-04-30,600029,2003-07-25,剔除
2006-04-30,2006,2006-04-24,sh.600030,2006-04-30,600030,2003-01-06,剔除
2006-04-30,2006,2006-04-24,sh.600031,2006-04-30,600031,2003-07-03,剔除
2006-04-30,2006,2006-04-24,sh.600033,2006-04-30,600033,2001-02-09,剔除
2006-04-30,2006,2006-04-24,sh.600035,2006-04-30,600035,2004-03-10,剔除
2006-04-30,2006,2006-04-24,sh.600036,2006-04-30,600036,2002-04-09,剔除
2006-04-30,2006,2006-04-24,sh.600037,2006-04-30,600037,2001-02-08,剔除
2006-04-30,2006,2006-04-24,sh.600050,2006-04-30,600050,2002-10-09,剔除
2006-04-30,2006,2006-04-24,sh.600057,2006-04-30,600057,1997-06-04,剔除
2006-04-30,2006,2006-04-24,sh.600058,2006-04-30,600058,1997-05-28,剔除
2006-04-30,2006,2006-04-24,sh.600060,2006-04-30,600060,1997-04-22,剔除
2006-04-30,2006,2006-04-24,sh.600062,2006-04-30,600062,1997-05-22,剔除
2006-04-30,2006,2006-04-24,sh.600068,2006-04-30,600068,1997-05-26,剔除
2006-04-30,2006,2006-04-24,sh.600073,2006-04-30,600073,1997-07-04,剔除
2006-04-30,2006,2006-04-24,sh.600078,2006-04-30,600078,1997-06-27,剔除
2006-04-30,2006,2006-04-24,sh.600085,2006-04-30,600085,1997-06-25,剔除
2006-04-30,2006,2006-04-24,sh.600087,2006-04-30,600087,1997-06-12,剔除
2006-04-30,2006,2006-04-24,sh.600088,2006-04-30,600088,1997-06-16,剔除
2006-04-30,2006,2006-04-24,sh.600089,2006-04-30,600089,1997-06-18,剔除
2006-04-30,2006,2006-04-24,sh.600091,2006-04-30,600091,1997-07-04,剔除
2006-04-30,2006,2006-04-24,sh.600096,2006-04-30,600096,1997-07-09,剔除
2006-04-30,2006,2006-04-24,sh.600098,2006-04-30,600098,1997-07-18,剔除
2006-04-30,2006,2006-04-24,sh.600100,2006-04-30,600100,1997-06-27,剔除
2006-04-30,2006,2006-04-24,sh.600102,2006-04-30,600102,1997-08-28,剔除
2006-04-30,2006,2006-04-24,sh.600103,2006-04-30,600103,1997-07-03,剔除
2006-04-30,2006,2006-04-24,sh.600104,2006-04-30,600104,1997-11-25,剔除
2006-04-30,2006,2006-04-24,sh.600108,2006-04-30,600108,1997-08-18,剔除
2006-04-30,2006,2006-04-24,sh.600110,2006-04-30,600110,1997-10-07,剔除
2006-04-30,2006,2006-04-24,sh.600115,2006-04-30,600115,1997-11-05,剔除
2006-04-30,2006,2006-04-24,sh.600117,2006-04-30,600117,1997-10-15,剔除
2006-04-30,2006,2006-04-24,sh.600121,2006-04-30,600121,1998-01-07,剔除
2006-04-30,2006,2006-04-24,sh.600123,2006-04-30,600123,1998-12-17,剔除
2006-04-30,2006,2006-04-24,sh.600125,2006-04-30,600125,1998-05-11,剔除
2006-04-30,2006,2006-04-24,sh.600126,2006-04-30,600126,1998-03-11,剔除
2006-04-30,2006,2006-04-24,sh.600138,2006-04-30,600138,1997-12-03,剔除
2006-04-30,2006,2006-04-24,sh.600153,2006-04-30,600153,1998-06-16,剔除
2006-04-30,2006,2006-04-24,sh.600166,2006-04-30,600166,1998-06-02,剔除
2006-04-30,2006,2006-04-24,sh.600170,2006-04-30,600170,1998-06-23,剔除
2006-04-30,2006,2006-04-24,sh.600171,2006-04-30,600171,1998-09-24,剔除
2006-04-30,2006,2006-04-24,sh.600177,2006-04-30,600177,1998-11-19,剔除
2006-04-30,2006,2006-04-24,sh.600183,2006-04-30,600183,1998-10-28,剔除
2006-04-30,2006,2006-04-24,sh.600188,2006-04-30,600188,1998-07-01,剔除
2006-04-30,2006,2006-04-24,sh.600190,2006-04-30,600190,1999-06-09,剔除
2006-04-30,2006,2006-04-24,sh.600196,2006-04-30,600196,1998-08-07,剔除
2006-04-30,2006,2006-04-24,sh.600198,2006-04-30,600198,1998-10-21,剔除
2006-04-30,2006,2006-04-24,sh.600200,2006-04-30,600200,1999-04-01,剔除
2006-04-30,2006,2006-04-24,sh.600205,2006-04-30,600205,1999-06-30,剔除
2006-04-30,2006,2006-04-24,sh.600207,2006-04-30,600207,1999-07-14,剔除
2006-04-30,2006,2006-04-24,sh.600210,2006-04-30,600210,1999-08-24,剔除
2006-04-30,2006,2006-04-24,sh.600215,2006-04-30,600215,1999-09-09,剔除
2006-04-30,2006,2006-04-24,sh.600220,2006-04-30,600220,1999-09-27,剔除
2006-04-30,2006,2006-04-24,sh.600221,2006-04-30,600221,1999-11-25,剔除
2006-04-30,2006,2006-04-24,sh.600231,2006-04-30,600231,2000-05-11,剔除
2006-04-30,2006,2006-04-24,sh.600236,2006-04-30,600236,2000-03-23,剔除
2006-04-30,2006,2006-04-24,sh.600256,2006-04-30,600256,2000-05-26,剔除
2006-04-30,2006,2006-04-24,sh.600266,2006-04-30,600266,1999-02-03,剔除
2006-04-30,2006,2006-04-24,sh.600267,2006-04-30,600267,2000-07-25,剔除
2006-04-30,2006,2006-04-24,sh.600269,2006-04-30,600269,2000-05-18,剔除
2006-04-30,2006,2006-04-24,sh.600270,2006-04-30,600270,2000-12-28,剔除
2006-04-30,2006,2006-04-24,sh.600271,2006-04-30,600271,2003-07-11,剔除
2006-04-30,2006,2006-04-24,sh.600282,2006-04-30,600282,2000-09-19,剔除
2006-04-30,2006,2006-04-24,sh.600296,2006-04-30,600296,2000-07-19,剔除
2006-04-30,2006,2006-04-24,sh.600307,2006-04-30,600307,2000-12-20,剔除
2006-04-30,2006,2006-04-24,sh.600308,2006-04-30,600308,2000-09-28,剔除
2006-04-30,2006,2006-04-24,sh.600309,2006-04-30,600309,2001-01-05,剔除
2006-04-30,2006,2006-04-24,sh.600320,2006-04-30,600320,2000-12-21,剔除
2006-04-30,2006,2006-04-24,sh.600331,2006-04-30,600331,2001-12-20,剔除
2006-04-30,2006,2006-04-24,sh.600333,2006-04-30,600333,2000-12-11,剔除
2006-04-30,2006,2006-04-24,sh.600339,2006-04-30,600339,2000-12-25,剔除
2006-04-30,2006,2006-04-24,sh.600348,2006-04-30,600348,2003-08-21,剔除
2006-04-30,2006,2006-04-24,sh.600350,2006-04-30,600350,2002-03-18,剔除
2006-04-30,2006,2006-04-24,sh.600357,2006-04-30,600357,2002-09-06,剔除
2006-04-30,2006,2006-04-24,sh.600362,2006-04-30,600362,2002-01-11,剔除
2006-04-30,2006,2006-04-24,sh.600377,2006-04-30,600377,2001-01-16,剔除
2006-04-30,2006,2006-04-24,sh.600380,2006-04-30,600380,2001-06-08,剔除
2006-04-30,2006,2006-04-24,sh.600383,2006-04-30,600383,2001-04-12,剔除
2006-04-30,2006,2006-04-24,sh.600399,2006-04-30,600399,2000-12-29,剔除
2006-04-30,2006,2006-04-24,sh.600408,2006-04-30,600408,2003-02-12,剔除
2006-04-30,2006,2006-04-24,sh.600418,2006-04-30,600418,2001-08-24,剔除
2006-04-30,2006,2006-04-24,sh.600428,2006-04-30,600428,2002-04-18,剔除
2006-04-30,2006,2006-04-24,sh.600500,2006-04-30,600500,2000-03-01,剔除
2006-04-30,2006,2006-04-24,sh.600508,2006-04-30,600508,2001-08-29,剔除
2006-04-30,2006,2006-04-24,sh.600519,2006-04-30,600519,2001-08-27,剔除
2006-04-30,2006,2006-04-24,sh.600548,2006-04-30,600548,2001-12-25,剔除
